Tamanio,Iteracion,Ntiradas_Ganar,LineaGanadora
10,0,100,N
10,1,100,N
10,2,100,N
10,3,100,N
10,4,100,N
10,5,100,N
10,6,100,N
10,7,100,N
10,8,100,N
10,9,100,N
10,10,100,N
10,11,100,N
10,12,100,N
10,13,100,N
10,14,100,N
10,15,100,N
10,16,100,N
10,17,100,N
10,18,90,H
10,19,100,N
10,20,100,N
10,21,100,N
10,22,100,N
10,23,100,N
10,24,100,N
10,25,100,N
10,26,100,N
10,27,100,N
10,28,100,N
10,29,100,N
10,30,100,N
10,31,100,N
10,32,100,N
10,33,100,N
10,34,100,N
10,35,100,N
10,36,100,N
10,37,100,N
10,38,100,N
10,39,100,N
10,40,100,N
10,41,100,N
10,42,100,N
10,43,100,N
10,44,100,N
10,45,100,N
10,46,100,N
10,47,100,N
10,48,100,N
10,49,100,N
10,50,100,N
10,51,100,N
10,52,100,N
10,53,100,N
10,54,100,N
10,55,100,N
10,56,100,N
10,57,100,N
10,58,100,N
10,59,100,N
10,60,100,N
10,61,100,N
10,62,100,N
10,63,100,N
10,64,100,N
10,65,100,N
10,66,100,N
10,67,100,N
10,68,100,N
10,69,100,N
10,70,100,N
10,71,100,N
10,72,100,N
10,73,100,N
10,74,100,N
10,75,100,N
10,76,100,N
10,77,100,N
10,78,100,N
10,79,100,N
10,80,100,N
10,81,100,N
10,82,100,N
10,83,100,N
10,84,100,N
10,85,100,N
10,86,100,N
10,87,100,N
10,88,100,N
10,89,100,N
10,90,100,N
10,91,100,N
10,92,100,N
10,93,100,N
10,94,100,N
10,95,100,N
10,96,100,N
10,97,100,N
10,98,100,N
10,99,100,N
10,100,100,N
10,101,100,N
10,102,100,N
10,103,100,N
10,104,100,N
10,105,100,N
10,106,100,N
10,107,100,N
10,108,100,N
10,109,100,N
10,110,100,N
10,111,100,N
10,112,100,N
10,113,100,N
10,114,100,N
10,115,100,N
10,116,100,N
10,117,100,N
10,118,100,N
10,119,100,N
10,120,100,N
10,121,100,N
10,122,100,N
10,123,100,N
10,124,100,N
10,125,100,N
10,126,100,N
10,127,82,H
10,128,100,N
10,129,100,N
10,130,100,N
10,131,100,N
10,132,100,N
10,133,100,N
10,134,100,N
10,135,100,N
10,136,100,N
10,137,100,N
10,138,100,N
10,139,100,N
10,140,100,N
10,141,100,N
10,142,100,N
10,143,100,N
10,144,100,N
10,145,100,N
10,146,100,N
10,147,100,N
10,148,100,N
10,149,100,N
10,150,100,N
10,151,100,N
10,152,100,N
10,153,100,N
10,154,100,N
10,155,100,N
10,156,100,N
10,157,100,N
10,158,100,N
10,159,100,N
10,160,100,N
10,161,100,N
10,162,100,N
10,163,100,N
10,164,100,N
10,165,100,N
10,166,100,N
10,167,100,N
10,168,100,N
10,169,100,H
10,170,100,N
10,171,100,N
10,172,100,N
10,173,100,N
10,174,100,N
10,175,100,N
10,176,100,N
10,177,100,N
10,178,100,N
10,179,100,N
10,180,100,N
10,181,100,N
10,182,100,N
10,183,100,N
10,184,100,N
10,185,100,N
10,186,100,N
10,187,100,N
10,188,100,N
10,189,100,N
10,190,100,N
10,191,100,N
10,192,100,N
10,193,100,N
10,194,100,N
10,195,100,N
10,196,100,N
10,197,100,N
10,198,100,N
10,199,100,N
10,200,100,N
10,201,100,N
10,202,100,N
10,203,100,N
10,204,100,N
10,205,100,N
10,206,100,N
10,207,100,N
10,208,100,N
10,209,100,N
10,210,100,N
10,211,100,N
10,212,100,N
10,213,100,N
10,214,100,N
10,215,100,N
10,216,100,N
10,217,100,N
10,218,99,H
10,219,100,N
10,220,100,N
10,221,100,N
10,222,100,N
10,223,100,N
10,224,100,N
10,225,100,N
10,226,100,N
10,227,100,N
10,228,100,N
10,229,100,N
10,230,100,N
10,231,100,N
10,232,100,N
10,233,100,N
10,234,100,N
10,235,100,N
10,236,100,N
10,237,100,N
10,238,100,N
10,239,100,N
10,240,100,N
10,241,100,N
10,242,100,N
10,243,100,N
10,244,100,N
10,245,100,N
10,246,100,N
10,247,100,N
10,248,100,N
10,249,100,N
10,250,100,N
10,251,100,N
10,252,100,N
10,253,100,N
10,254,100,N
10,255,100,N
10,256,100,N
10,257,100,N
10,258,100,N
10,259,100,N
10,260,100,N
10,261,100,N
10,262,100,N
10,263,100,N
10,264,100,N
10,265,100,N
10,266,100,N
10,267,100,V
10,268,100,N
10,269,100,N
10,270,100,N
10,271,100,N
10,272,100,N
